Code,TIME_PERIOD,KWH_price
AL,2022-S2,0.1097
AT,2022-S2,0.1717
BA,2022-S2,0.0866
BE,2022-S2,0.2012
BG,2022-S2,0.3481
CY,2022-S2,0.2443
CZ,2022-S2,0.1769
DE,2022-S2,0.1782
DK,2022-S2,0.2264
EE,2022-S2,0.2463
EL,2022-S2,0.3925
ES,2022-S2,0.2064
FI,2022-S2,0.1144
FR,2022-S2,0.1237
GE,2022-S2,0.0951
HR,2022-S2,0.2246
HU,2022-S2,0.2211
IE,2022-S2,0.2834
IS,2022-S2,0.0775
IT,2022-S2,0.3257
LI,2022-S2,0.1405
LT,2022-S2,0.3294
LU,2022-S2,0.1441
LV,2022-S2,0.2292
MD,2022-S2,0.1495
ME,2022-S2,0.0761
MK,2022-S2,0.3215
MT,2022-S2,0.1380
NL,2022-S2,0.1459
NO,2022-S2,0.2035
PL,2022-S2,0.1122
PT,2022-S2,0.1721
RO,2022-S2,0.3395
RS,2022-S2,0.1026
SE,2022-S2,0.1520
SI,2022-S2,0.1817
SK,2022-S2,0.2161
XK,2022-S2,0.0669
